,account_id,type,total_licenses,engagement_ratio,no_engaged_users
377,QOB867KBQN,Customer,536.0,0.007462686567164179,1
378,QQYZQII4W6,Customer,349.0,0.5071633237822349,28
379,QUPXBFEJ2X,Customer,540.0,0.412962962962963,15
380,QW3B4NTHZM,Customer,335.0,1.0955223880597016,82
381,QXMCTHPHJ3,Customer,433.0,0.42032332563510394,2
382,QZFHOMTZZF,Customer,63.0,0.4444444444444444,9
383,R6K2VMWWYZ,Customer,15.0,0.8666666666666667,4
384,R96KHUB2RT,Customer,194.0,0.5051546391752577,12
385,RABR6RTC0Z,Customer,5376.0,0.2648809523809524,38
386,RGYBXKPM21,Customer,2007.0,0.059292476332835076,24
387,RHT7ZEWVIY,Customer,2000014.0,0.0004624967625226623,106
388,RI09M0G8W8,Customer,120.0,0.575,7
389,RIJKQ2ZUV1,Customer,117.0,0.4017094017094017,10
390,RJ5XFEUB4O,Customer,52.0,0.5384615384615384,5
391,RM6J8Y6RH0,Customer,62.0,0.16129032258064516,6
392,RMHRCNBH6N,Customer,1282.0,0.8166926677067082,117
393,RMWLMA6GMD,Customer,45.0,1.1777777777777778,16
394,RQNSVSOJRP,Customer,160.0,0.20625,2
395,RR513BB6F0,Customer,607.0,0.5848434925864909,39
396,RTWLXDSC4E,Customer,338.0,0.6538461538461539,9
397,RUW0U92T24,Customer,1086.0,0.2918968692449355,55
398,RV68JQ12JF,Customer,211.0,0.2938388625592417,3
399,RW6TM2O04K,Customer,219.0,0.1187214611872146,8
400,RWTF07GBAS,Customer,155.0,0.9806451612903225,32
401,RXDTG5NQJQ,Customer,51.0,0.6274509803921569,1
402,RY79KVLS9M,Customer,4.0,1.0,1
403,RZKDU6FOTW,Customer,427.0,0.12646370023419204,22
404,S1F537YE0Q,Customer,122.0,0.39344262295081966,2
405,S52SQ3B9SO,Customer,872.0,0.37844036697247707,16
406,S65QU0K5QZ,Customer,3156.0,0.008238276299112801,4
407,S7O4YC3S0D,Customer,177.0,0.192090395480226,6
408,SCNX8EIQET,Customer,43.0,0.4883720930232558,3
409,SEVL7FQ8AB,Customer,1179.0,2.011874469889737,100
410,SGUR4PU6W9,Customer,1000065.0,0.0014349067310624808,52
411,SIUAZ71UF0,Customer,3548.0,0.1161217587373168,110
412,SKP6RFE64S,Customer,38.0,0.6052631578947368,2
413,SLHGMRZZQO,Customer,212.0,0.25,2
414,SMADO8E7FL,Customer,222.0,0.49099099099099097,6
415,SOGB205HU0,Customer,60.0,0.6,1
416,SOYG9ZQYAH,Customer,77.0,0.06493506493506493,5
417,SPD2SW24WJ,Customer,2116.0,0.06474480151228733,12
418,SPENGWYX9T,Customer,1000087.0,6.49943454919422e-05,3
419,SR2HVNKVON,Customer,402.0,0.06965174129353234,5
420,SRYO4RCB1K,Customer,1104.0,0.4483695652173913,34
421,SRYZX70IB3,Customer,535.0,0.27476635514018694,19
422,SU4SE2KYT5,Customer,82.0,0.6707317073170732,3
423,SUFLSEHUDS,Customer,111.0,0.6486486486486487,1
424,SXLSUTOTHL,Customer,178.0,0.2696629213483146,1
425,SZDXIMYN4U,Customer,118.0,0.788135593220339,20
426,T00IV1GGXR,Customer,3181.0,0.4350833071361207,24
427,T860X5ZU2Z,Customer,118.0,0.1694915254237288,7
428,T8JBBSXPK4,Customer,1000035.0,0.00043998460053898115,13
429,TANA6U48GW,Customer,125.0,0.616,3
430,TI221XJ7WW,Customer,62.0,0.3548387096774194,3
431,TIO4M7PP0P,Customer,526.0,0.30228136882129275,7
432,TN9UZERYF0,Customer,6015.0,0.18769742310889442,60
433,TOZHDV5OJZ,Customer,1055.0,0.008530805687203791,2
434,TP6QAQ3K8A,Customer,1000145.0,0.0002799594058861465,21
435,TQYDSHLV76,Customer,1000024.0,0.0006759837763893667,102
436,TSXOF33QE6,Customer,33.0,1.0606060606060606,3
437,TWBOZD1AT7,Customer,1123.0,0.39982190560997327,31
438,TXCB48Y1O4,Customer,37.0,0.2972972972972973,2
439,TXSNHFT4I2,Customer,103.0,0.23300970873786409,2
440,TYLAVZME9W,Customer,177.0,0.2033898305084746,3
441,TZ0YNCXLL4,Customer,62.0,0.6129032258064516,5
